strain	species	species_match	contig_count	N50	largest_contig	total_size	ambiguous_bases	QC_warnings	ST	gapA	infB	mdh	pgi	phoE	rpoB	tonB	YbST	Yersiniabactin	ybtS	ybtX	ybtQ	ybtP	ybtA	irp2	irp1	ybtU	ybtT	ybtE	fyuA	spurious_ybt_hits	CbST	Colibactin	clbA	clbB	clbC	clbD	clbE	clbF	clbG	clbH	clbI	clbL	clbM	clbN	clbO	clbP	clbQ	spurious_clb_hits	AbST	Aerobactin	iucA	iucB	iucC	iucD	iutA	spurious_abst_hits	SmST	Salmochelin	iroB	iroC	iroD	iroN	spurious_smst_hits	RmST	RmpADC	rmpA	rmpD	rmpC	spurious_rmst_hits	virulence_score	spurious_virulence_hits	rmpA2	AGly_acquired	Col_acquired	Fcyn_acquired	Flq_acquired	Gly_acquired	MLS_acquired	Phe_acquired	Rif_acquired	Sul_acquired	Tet_acquired	Tgc_acquired	Tmt_acquired	Bla_acquired	Bla_inhR_acquired	Bla_ESBL_acquired	Bla_ESBL_inhR_acquired	Bla_Carb_acquired	Bla_chr	SHV_mutations	Omp_mutations	Col_mutations	Flq_mutations	truncated_resistance_hits	spurious_resistance_hits	resistance_score	num_resistance_classes	num_resistance_genes	wzi	K_locus	K_type	K_locus_confidence	K_locus_problems	K_locus_identity	K_Missing_expected_genes	O_locus	O_type	O_locus_confidence	O_locus_problems	O_locus_identity	O_Missing_expected_genes
24716_1359BLF.fasta-ragtag.scaffold	Klebsiella pneumoniae	strong	69	5280940	5280940	5644930	yes (4400)	ambiguous_bases	ST17	2	1	1	1	4	4	4	277	ybt 16; ICEKp12	6	15	5	4	11	33	23	2	11	4	2	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	0	-	-	-	-	-	-	0	-	-	-	-	-	1	-	-	aac(3)-IIa.v1;aac(6')-Ib-cr.v1^;aadA16*;strA.v1*;strB.v1*	-	-	qnrB6^;qnrS1	-	-	catA1^;catII.2*	arr-3	sul1;sul1;sul2	tet(D)	-	dfrA27	TEM-1D.v1^	-	CTX-M-15	-	-	SHV-11^	35Q	-	-	-	-	-	1	9	17	wzi141	KL25	K25	Typeable	!	99.65%	-	O5	O5	Typeable	-	98.23%	-
24717_1252.fasta-ragtag.scaffold	Klebsiella pneumoniae	strong	56	5391842	5391842	5645595	yes (5100)	ambiguous_bases	ST25	2	1	1	1	10	4	13	273-2LV	ybt 15; ICEKp11	6	15	5	4*	1	37	44*	2	1	4	26	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	0	-	-	-	-	-	-	0	-	-	-	-	-	1	-	-	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	-	-	qnrB1.v2^	-	-	-	-	sul2	-	-	dfrA14.v2*	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	-	SHV-11^	35Q	-	-	-	-	catB3.v1?-70%	1	6	10	wzi72	KL2	K2	Typeable	-	99.56%	-	O1/O2v2	O1ab	Typeable	-	99.48%	-
24718_2006.fasta-ragtag.scaffold	Klebsiella pneumoniae	strong	65	5137534	5137534	5416010	yes (4900)	ambiguous_bases	ST1799-1LV	2	1	1	1	3	1	34*	178	ybt 9; ICEKp3	5	11	6	5	1	16	15	9	5	5	11	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	0	-	-	-	-	-	-	0	-	-	-	-	-	1	-	-	aac(3)-IIa.v1;strA.v1*;strB.v1*	-	-	-	-	-	-	-	sul2	tet(D)	-	dfrA14.v2*	TEM-1D.v1^	-	CTX-M-15	-	-	SHV-28^	-	-	-	-	-	-	1	6	8	-	KL16	K16	Typeable	-	99.74%	-	O1/O2v1	O1ab	Typeable	-	98.81%	-
24719_961.fasta-ragtag.scaffold	Klebsiella pneumoniae	strong	103	5268594	5268594	5496887	yes (4000)	ambiguous_bases	ST280	2	1	2	1	10	4	46	0	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	0	-	-	-	-	-	-	0	-	-	-	-	-	0	-	-	aac(3)-IId^	-	-	-	-	-	catII.2*	-	sul2	-	-	dfrA30*	TEM-1D.v1^	-	CTX-M-15	-	-	SHV-27	156D	-	-	-	-	fosA7.5*?-0%	1	6	6	wzi82	KL23	K23	Typeable	-	100.00%	-	O1/O2v2	O2afg	Typeable	-	99.07%	-
24720_1254.fasta-ragtag.scaffold	Klebsiella pneumoniae	strong	54	5409693	5409693	5644634	yes (5200)	ambiguous_bases	ST25	2	1	1	1	10	4	13	273-2LV	ybt 15; ICEKp11	6	15	5	4*	1	37	44*	2	1	4	26	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	0	-	-	-	-	-	-	0	-	-	-	-	-	1	-	-	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	-	-	qnrB1.v2^	-	-	-	-	sul2	-	-	dfrA14.v2*	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	-	SHV-11^	35Q	-	-	-	-	catB3.v1?-70%	1	6	10	wzi72	KL2	K2	Typeable	-	99.56%	-	O1/O2v2	O1ab	Typeable	-	99.48%	-
24721_1014.fasta-ragtag.scaffold	Klebsiella pneumoniae	strong	84	5059619	5059619	5412273	yes (5700)	ambiguous_bases	ST76	4	1	1	1	21	1	35	0	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	0	-	-	-	-	-	-	0	-	-	-	-	-	0	-	-	strA.v1*;strB.v1*	-	-	-	-	-	-	-	sul2	-	-	dfrA14.v2*	-	-	-	-	-	SHV-1^	-	-	-	-	-	-	0	3	4	-	KL166	unknown (KL166)	Untypeable	-+!	94.29%	KL166_19_rmlA;KL166_08_wzx;KL166_13_wcuC;KL166_05_wzb;KL166_09_wzy;KL166_06_wzc;KL166_14_wcaJ;KL166_18_rmlB;KL166_20_rmlD;KL166_10_wcuP;KL166_11_wcuF;KL166_02_cpsACP;KL166_21_rmlC;KL166_07;KL166_12_wcmY	O1/O2v3	O1ab	Typeable	-	97.21%	-
24722_770.fasta-ragtag.scaffold	Klebsiella pneumoniae	strong	46	5322446	5322446	5388632	yes (3000)	ambiguous_bases	ST711	2	61	2	2	6	4	4	230-1LV	ybt 15; ICEKp11	6	15	22	4	1	37	394*	14	1	4	17	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	0	-	-	-	-	-	-	0	-	-	-	-	-	1	-	-	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	-	-	qnrB1.v2^	-	-	-	-	sul2	tet(A).v1	-	dfrA14.v2*	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	-	SHV-187	-	-	-	-	-	catB3.v1?-70%	1	7	11	-	KL54	K54	Typeable	-	99.93%	-	O1/O2v2	O1ab	Typeable	-	99.35%	-
24723_1425.fasta-ragtag.scaffold	Klebsiella pneumoniae	strong	44	5236983	5236983	5506282	yes (1900)	ambiguous_bases	ST16	2	1	2	1	4	4	4	183	ybt 9; ICEKp3	5	11	6	5	1	25	37	9	5	5	11	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	0	-	-	-	-	-	-	0	-	-	-	-	-	1	-	-	aac(3)-IIa.v1	-	-	-	-	-	catII.2*	-	-	-	-	dfrA14.v2*	TEM-1D.v1^	-	CTX-M-15	-	-	SHV-1	-	-	-	GyrA-83F;GyrA-87N;ParC-84K	-	-	1	6	5	wzi50	KL51	K51	Typeable	-	100.00%	-	O3b	O3b	Typeable	-	99.61%	-
24724_558.fasta-ragtag.scaffold	Klebsiella pneumoniae	strong	100	5239952	5239952	5499522	yes (3700)	ambiguous_bases	ST280	2	1	2	1	10	4	46	0	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	0	-	-	-	-	-	-	0	-	-	-	-	-	0	-	-	aac(3)-IId^	-	-	-	-	-	catII.2*	-	sul2	-	-	dfrA30*	TEM-1D.v1^	-	CTX-M-15	-	-	SHV-27	156D	-	-	-	-	fosA7.5*?-0%	1	6	6	wzi82	KL23	K23	Typeable	-	100.00%	-	O1/O2v2	O2afg	Typeable	-	99.07%	-
24725_2013.fasta-ragtag.scaffold	Klebsiella pneumoniae	strong	88	5141420	5141420	5428922	yes (4700)	ambiguous_bases	ST1799-1LV	2	1	1	1	3	1	34*	178	ybt 9; ICEKp3	5	11	6	5	1	16	15	9	5	5	11	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	0	-	-	-	-	-	-	0	-	-	-	-	-	1	-	-	aac(3)-IIa.v1;strA.v1*;strB.v1*	-	-	-	-	-	-	-	sul2	tet(D)	-	dfrA14.v2*	TEM-1D.v1^	-	CTX-M-15	-	-	SHV-28^	-	-	-	-	-	-	1	6	8	-	KL16	K16	Typeable	-	99.74%	-	O1/O2v1	O1ab	Typeable	-	98.81%	-
24726_1895.fasta-ragtag.scaffold	Klebsiella pneumoniae	strong	3123	5223282	5223282	6054395	yes (5403)	ambiguous_bases	ST1540	2	1	1	6	10	1	62	0	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	0	-	-	-	-	-	-	0	-	-	-	-	-	0	-	-	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;aadA2^;strA.v1*;strB.v1*	-	-	qnrS1	-	Mrx;mphA	catII.2*	-	sul1;sul2	tet(A).v1	-	dfrA12	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	-	SHV-11^	35Q	-	-	-	-	catB3.v1?-70%	1	9	16	wzi451	KL145	unknown (KL145)	Typeable	-+!	97.66%	KL145_22_rmlC;KL145_02_cpsACP;KL145_01_galF	OL103	unknown (OL103)	Typeable	-	97.71%	-
24727_2095.fasta-ragtag.scaffold	Klebsiella pneumoniae	strong	33	5182493	5182493	5339068	yes (3600)	ambiguous_bases	ST211	2	1	2	42	26	4	18	67-1LV	ybt 7; ICEKp7	24	11	34	33	1	75	73	9	20	31	284	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	0	-	-	-	-	-	-	0	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-11^	35Q	-	-	-	-	-	0	0	0	wzi50	KL17	K17	Typeable	-	99.53%	-	O4	O4	Typeable	-	99.63%	-
24728_1912.fasta-ragtag.scaffold	Klebsiella pneumoniae	strong	40	5244393	5244393	5644694	yes (2600)	ambiguous_bases	ST14	1	6	1	1	1	1	1	0	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	0	-	-	-	-	-	-	0	-	-	-	-	-	0	-	-	aac(3)-IIa.v1;strA.v1^;strB.v1	-	-	qnrB1.v2^	-	-	-	-	sul2	tet(A).v1	-	dfrA14.v2*	TEM-1D.v1^	-	CTX-M-15	-	-	SHV-28^	-	-	-	-	-	-	1	7	9	wzi2	KL2	K2	Typeable	-	99.84%	-	O1/O2v1	O1ab	Typeable	-	99.98%	-
24729_1801.fasta-ragtag.scaffold	Klebsiella pneumoniae	strong	79	5283485	5283485	5651546	yes (3500)	ambiguous_bases	ST17	2	1	1	1	4	4	4	277	ybt 16; ICEKp12	6	15	5	4	11	33	23	2	11	4	2	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	0	-	-	-	-	-	-	0	-	-	-	-	-	1	-	-	aac(3)-IIa.v1;aac(6')-Ib-cr.v1^;aadA16*;strA.v1*;strB.v1*	-	-	qnrB6^;qnrS1	-	-	catA1^;catII.2*	arr-3	sul1;sul1;sul2	tet(D)	-	dfrA27	TEM-1D.v1^	-	CTX-M-15	-	-	SHV-11^	35Q	-	-	-	-	-	1	9	17	wzi141	KL25	K25	Typeable	!	99.65%	-	O5	O5	Typeable	-	98.23%	-
24730_1204.fasta-ragtag.scaffold	Klebsiella pneumoniae	strong	114	5157388	5157388	5371403	yes (3400)	ambiguous_bases	ST17	2	1	1	1	4	4	4	0	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	0	-	-	-	-	-	-	0	-	-	-	-	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-11^	35Q	-	-	-	-	-	0	0	0	-	KL62	K62	Typeable	!	99.60%	-	O1/O2v2	O2afg	Typeable	-	99.14%	-
24731_2111.fasta-ragtag.scaffold	Klebsiella pneumoniae	strong	61	5400919	5400919	5572268	yes (4000)	ambiguous_bases	ST39	2	1	2	4	9	1	14	294	ybt 16; ICEKp12	6	15	5	4	11	286	304	2	11	4	2	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	0	-	-	-	-	-	-	0	-	-	-	-	-	1	-	-	aac(3)-IId^	-	-	-	-	-	catII.2*	-	sul2	-	-	dfrA30*	TEM-1D.v1^	-	CTX-M-15	-	-	SHV-11^	35Q	-	-	-	-	-	1	6	6	wzi2	KL2	K2	Typeable	-	99.83%	-	O1/O2v1	O1ab	Typeable	-	100.00%	-
24732_1865.fasta-ragtag.scaffold	Klebsiella pneumoniae	strong	65	5140695	5140695	5419357	yes (4800)	ambiguous_bases	ST1799-1LV	2	1	1	1	3	1	34*	178	ybt 9; ICEKp3	5	11	6	5	1	16	15	9	5	5	11	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	0	-	-	-	-	-	-	0	-	-	-	-	-	1	-	-	aac(3)-IIa.v1;strA.v1*;strB.v1*	-	-	-	-	-	-	-	sul2	tet(D)	-	dfrA14.v2*	TEM-1D.v1^	-	CTX-M-15	-	-	SHV-28^	-	-	-	-	-	-	1	6	8	-	KL16	K16	Typeable	-	99.74%	-	O1/O2v1	O1ab	Typeable	-	98.81%	-
24733_1925.fasta-ragtag.scaffold	Klebsiella pneumoniae	strong	82	5193111	5193111	5430805	yes (3000)	ambiguous_bases	ST6104	4	1	37	361	3	4	39	0	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	0	-	-	-	-	-	-	0	-	-	-	-	-	0	-	-	aac(3)-IId^;strA.v1*;strB.v1*	-	-	qnrB1.v1	-	-	-	-	sul2	-	-	dfrA14.v2*	TEM-1D.v1^	-	CTX-M-15	-	-	SHV-116^	-	-	-	-	-	-	1	6	8	-	KL125	unknown (KL125)	Typeable	-	93.53%	-	O5	O5	Typeable	-	98.29%	-
